,,0
type ukraine 2023-02-11 19-25-55.482177,0, 1 T-64A
type ukraine 2023-02-11 19-25-55.482177,1, 2 T-64B
type ukraine 2023-02-11 19-25-55.482177,2, 201 T-64BV
type ukraine 2023-02-11 19-25-55.482177,3, 59 T-64BV Zr. 2017
type ukraine 2023-02-11 19-25-55.482177,4, 1 T-64BVK
type ukraine 2023-02-11 19-25-55.482177,5, 10 T-64BM 'Bulat'
type ukraine 2023-02-11 19-25-55.482177,6, 5 T-64BM2 'Bulat'
type ukraine 2023-02-11 19-25-55.482177,7, 13 T-72AV
type ukraine 2023-02-11 19-25-55.482177,8, 15 T-72AMT
type ukraine 2023-02-11 19-25-55.482177,9,38 T-80BV
type ukraine 2023-02-11 19-25-55.482177,10,34 BRM-1 and BRM-1K reconnaissance vehicle
type ukraine 2023-02-11 19-25-55.482177,11, 57 BRDM-2
type ukraine 2023-02-11 19-25-55.482177,12, 39 BRDM-2L1
type ukraine 2023-02-11 19-25-55.482177,13, 11 BRDM-2RKhb chemical reconnaissance vehicle
type ukraine 2023-02-11 19-25-55.482177,14, 38 MT-LB
type ukraine 2023-02-11 19-25-55.482177,15, 10 MT-LB with ZU-23 AA gun
type ukraine 2023-02-11 19-25-55.482177,16, 1 BTS-4 ARV with ZU-23 AA gun
type ukraine 2023-02-11 19-25-55.482177,17, 4 MT-LBu
type ukraine 2023-02-11 19-25-55.482177,18,15 MT-LB-S Ambulance
type ukraine 2023-02-11 19-25-55.482177,19, 1 BMM-70 Ambulance
type ukraine 2023-02-11 19-25-55.482177,20, 3 BMM-4C Ambulance
type ukraine 2023-02-11 19-25-55.482177,21, 1 BMP-1TS
type ukraine 2023-02-11 19-25-55.482177,22, 1 BMP-1U 'Shkval'
type ukraine 2023-02-11 19-25-55.482177,23, 1 BWP-1
type ukraine 2023-02-11 19-25-55.482177,24, 16 Unknown BMP-1/2
type ukraine 2023-02-11 19-25-55.482177,25, 35 BTR-3
type ukraine 2023-02-11 19-25-55.482177,26,72 BTR-4
type ukraine 2023-02-11 19-25-55.482177,27, 17 BTR-60PB
type ukraine 2023-02-11 19-25-55.482177,28, 28 BTR-70
type ukraine 2023-02-11 19-25-55.482177,29, 20 BTR-70M
type ukraine 2023-02-11 19-25-55.482177,30,92 BTR-80
type ukraine 2023-02-11 19-25-55.482177,31, 2 BTR-80M
type ukraine 2023-02-11 19-25-55.482177,32, 2 BTR-D
type ukraine 2023-02-11 19-25-55.482177,33, 1 GT-MU AFV converted to APC
type ukraine 2023-02-11 19-25-55.482177,34, 2 KrAZ-MPV Shrek One
type ukraine 2023-02-11 19-25-55.482177,35, 60 Kozak-2
type ukraine 2023-02-11 19-25-55.482177,36, 18 Kozak-2M1
type ukraine 2023-02-11 19-25-55.482177,37, 3 Triton-1
type ukraine 2023-02-11 19-25-55.482177,38, 2 BMP-1KSh command and staff vehicle
type ukraine 2023-02-11 19-25-55.482177,39, 1 R-145BM command vehicle
type ukraine 2023-02-11 19-25-55.482177,40, 1 BTR-60PU-12 air defence command vehicle
type ukraine 2023-02-11 19-25-55.482177,41, 1 T-64 mine clearing roller tank
type ukraine 2023-02-11 19-25-55.482177,42, 2 BAT-2 heavy engineering vehicle
type ukraine 2023-02-11 19-25-55.482177,43, 1 MDK-3 trench-digging vehicle
type ukraine 2023-02-11 19-25-55.482177,44, 1 Ural-4320 KET-L recovery vehicle
type ukraine 2023-02-11 19-25-55.482177,45, 1 PTS-2  tracked amphibious transport
type ukraine 2023-02-11 19-25-55.482177,46, 2 9P149 Shturm-S ATGM carrier
type ukraine 2023-02-11 19-25-55.482177,47, 7 1V18 'Klyon-1' artillery command and forward observer vehicle
type ukraine 2023-02-11 19-25-55.482177,48, 3 100mm BS-3 anti-tank gun
type ukraine 2023-02-11 19-25-55.482177,49,16 100mm MT-12 anti-tank gun
type ukraine 2023-02-11 19-25-55.482177,50, 7 152mm D-20 gun-howitzer
type ukraine 2023-02-11 19-25-55.482177,51, 11 152mm 2A36 Giatsint-B field-gun
type ukraine 2023-02-11 19-25-55.482177,52, 4 152mm 2A65 Msta-B howitzer
type ukraine 2023-02-11 19-25-55.482177,53, 2 155mm FH-70
type ukraine 2023-02-11 19-25-55.482177,54, 2 120mm Bars-8MMK
type ukraine 2023-02-11 19-25-55.482177,55, 3 120mm BTR-3M2
type ukraine 2023-02-11 19-25-55.482177,56, 27 122mm BM-21 Grad
type ukraine 2023-02-11 19-25-55.482177,57, 5 220mm BM-27 Uragan
type ukraine 2023-02-11 19-25-55.482177,58, 3 23mm ZU-23
type ukraine 2023-02-11 19-25-55.482177,59, 10 9K35 Strela-10
type ukraine 2023-02-11 19-25-55.482177,60, 4 P-18 'Spoon Rest D'
type ukraine 2023-02-11 19-25-55.482177,61, 2 P-19 'Flat Face B'
type ukraine 2023-02-11 19-25-55.482177,62, 1 P-35/37 'Bar Lock'
type ukraine 2023-02-11 19-25-55.482177,63, 1 PRV-11 'Side Net'
type ukraine 2023-02-11 19-25-55.482177,64, 2 PRV-13 'Odd Pair'
type ukraine 2023-02-11 19-25-55.482177,65," 1 R-410-7,5 tropospheric radio relay communication station"
type ukraine 2023-02-11 19-25-55.482177,66, 3 SNAR-10 battlefield surveillance radar
type ukraine 2023-02-11 19-25-55.482177,67, 1 P-18ML long-range VHF surveillance radar
type ukraine 2023-02-11 19-25-55.482177,68, 1 AN/TPQ-36 lightweight counter mortar radar
type ukraine 2023-02-11 19-25-55.482177,69, 1 AN/TPQ-49 lightweight counter mortar radar
type ukraine 2023-02-11 19-25-55.482177,70, 2 Il-76 transport aircraft
type ukraine 2023-02-11 19-25-55.482177,71, 2 An-26 transport aircraft
type ukraine 2023-02-11 19-25-55.482177,72, 21 Mi-8 transport helicopter
type ukraine 2023-02-11 19-25-55.482177,73, 1 Mi-14 maritime helicopter
type ukraine 2023-02-11 19-25-55.482177,74, 2 Mi-24P attack helicopter
type ukraine 2023-02-11 19-25-55.482177,75, 1 Mi-24 attack helicopter
type ukraine 2023-02-11 19-25-55.482177,76, 18 A1-SM Fury
type ukraine 2023-02-11 19-25-55.482177,77, 4 ASU-1 Valkyrja
type ukraine 2023-02-11 19-25-55.482177,78, 1 UJ-22
type ukraine 2023-02-11 19-25-55.482177,79, 11 Leleka-100
type ukraine 2023-02-11 19-25-55.482177,80, 1 Krivak III-class frigate 'Hetman Sahaydachniy'
type ukraine 2023-02-11 19-25-55.482177,81, 5 Gyurza-M-class gunboat
type ukraine 2023-02-11 19-25-55.482177,82, 1 Island-class patrol boat P190 Slovyansk
type ukraine 2023-02-11 19-25-55.482177,83, 1 Sorum-class seagoing tugboat 'Korets' ''A830 or P186''
type ukraine 2023-02-11 19-25-55.482177,84, 1 Pr.304 Amur-class command ship 'Donbas' ''U-500''
type ukraine 2023-02-11 19-25-55.482177,85, 4 KrAZ-260
type ukraine 2023-02-11 19-25-55.482177,86,32 KrAZ-6322
type ukraine 2023-02-11 19-25-55.482177,87, 3 Armoured KrAZ-6322
type ukraine 2023-02-11 19-25-55.482177,88, 25 KrAZ-5233
type ukraine 2023-02-11 19-25-55.482177,89, 19 Bogdan-63172
type ukraine 2023-02-11 19-25-55.482177,90,72 GAZ-66
type ukraine 2023-02-11 19-25-55.482177,91, 4 ZiL-130
type ukraine 2023-02-11 19-25-55.482177,92,95 ZiL-131
type ukraine 2023-02-11 19-25-55.482177,93, 1 ZiL-157
type ukraine 2023-02-11 19-25-55.482177,94,10 Ural-375D
type ukraine 2023-02-11 19-25-55.482177,95,35 Ural-4320
type ukraine 2023-02-11 19-25-55.482177,96, 2 MAZ-537
type ukraine 2023-02-11 19-25-55.482177,97, 10 UAZ-469 jeep
type ukraine 2023-02-11 19-25-55.482177,98,9 UAZ-452 van
